"last_name, first_name","player_id","year","ab","pa","home_run","strikeout","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","xba","xslg","woba","xwoba","avg_swing_speed","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent","batted_ball","f_strike_percent","groundballs_percent","linedrives_percent"
"Marte, Ketel","606466","2024","466","534","32","99",18.5,10.3,".292",".552",".365","0.917",".298",".538",".385",".389",73.7,"93.8","8.9",33.5,11.4,53.5,"103.831296096","96.805469733",21.9,48.7,"376",59.2,49.2,22.1
"Rafaela, Ceddanne","678882","2024","516","542","15","144",26.6,2.8,".248",".395",".276","0.671",".234",".378",".289",".276",70.2,"86.7","15.3",34.5,7.7,37.1,"98.23833371","93.167768817",32.8,61.6,"377",70.4,42.2,22.8
"Castro, Willi","650489","2024","523","592","12","146",24.7,8.1,".250",".394",".334","0.728",".246",".389",".322",".320",70.6,"87.5","13.4",38.8,7.1,36.7,"98.909982086","93.524360402",29.5,51.3,"379",64.5,40.6,27.2
"Chourio, Jackson","694192","2024","487","531","21","108",20.3,7.2,".273",".472",".328","0.800",".284",".451",".342",".339",73.2,"89.9","7.5",33.8,8.4,45.5,"101.094616455","94.969767639",26.1,49,"382",65.7,47.9,24.6
"Devers, Rafael","646240","2024","514","589","28","138",23.4,11.2,".276",".525",".358","0.883",".278",".529",".369",".371",72.5,"93.2","11.6",35.1,13.1,52.4,"104.614995105","97.084944842",30.4,50.9,"382",60.3,41.4,24.9
"Vierling, Matt","663837","2024","494","534","16","110",20.6,6.2,".261",".433",".309","0.742",".266",".411",".320",".315",71.1,"89.8","11.6",34.5,7.5,40.8,"100.249306126","94.355465052",18.8,43.3,"388",57.7,41.8,26.8
"Chisholm Jr., Jazz","665862","2024","528","584","22","141",24.1,8.7,".259",".436",".329","0.765",".244",".424",".330",".318",71.9,"89.7","11.3",29.6,9.5,40.6,"100.116611","94.457887256",28.8,47.5,"388",59.2,49.7,18.8
"Neto, Zach","687263","2024","512","569","21","127",22.3,6.5,".248",".436",".318","0.754",".242",".430",".327",".324",70.9,"88.5","12.5",29.3,8.5,38.8,"100.13698267","94.273254829",26.8,49.1,"389",62.6,44.7,19.3
"India, Jonathan","663697","2024","503","599","14","122",20.4,12.5,".245",".388",".352","0.740",".267",".416",".329",".351",71.7,"87.2","13.2",39,7.9,36.4,"98.910314433","93.555994134",19.5,38.6,"390",59.1,43.8,26.4
"Chapman, Matt","656305","2024","547","617","24","150",24.3,10,".247",".448",".329","0.777",".253",".455",".336",".341",76.7,"93.2","16.5",30.8,12.5,48,"104.323523384","96.707462937",23.7,44.8,"399",64.4,38.1,23.1
"Stott, Bryson","681082","2024","477","539","11","87",16.1,9.3,".243",".358",".314","0.672",".258",".374",".296",".310",68.1,"87","14.6",35.8,3.8,30.8,"97.214710354","92.667770808",16.7,43.7,"399",63.2,41.9,23.8
"De La Cruz, Bryan","650559","2024","560","594","20","160",26.9,4.5,".236",".386",".273","0.659",".249",".437",".285",".310",71.8,"89.6","13.4",35.5,9.4,42.2,"99.972735721","94.289771517",29.8,53.6,"403",64.3,40.9,24.8
"Schanuel, Nolan","694384","2024","496","580","13","97",16.7,11.4,".252",".367",".345","0.712",".258",".365",".318",".321",65.3,"86","9.9",37,3.7,25.7,"95.418709403","91.721397107",14.3,41.9,"408",63.1,46.3,27.9
"Abrams, CJ","682928","2024","530","590","20","125",21.2,6.6,".240",".426",".309","0.735",".250",".417",".317",".322",72.2,"88","15.2",33.2,7.1,39.8,"99.320817353","93.802496609",24.9,53.5,"410",62.8,40.2,22.7
"Vaughn, Andrew","683734","2024","529","576","18","124",21.5,6.4,".248",".408",".300","0.708",".252",".467",".307",".331",70.8,"90.4","16.8",36.1,10,43.4,"100.96245561","94.722823927",22,48.9,"410",64.2,37.1,23.2
"Adames, Willy","642715","2024","574","647","32","165",25.5,10.7,".249",".469",".329","0.798",".248",".479",".343",".345",73.7,"88.4","20.5",38.1,12.4,40,"99.67976801","94.029975801",29.6,49.2,"412",59.8,31.1,22.1
"Bell, Josh","605137","2024","531","595","18","118",19.8,8.6,".249",".401",".320","0.721",".243",".405",".315",".314",70.4,"89","10.7",31.5,7.5,40.1,"100.034737729","94.156086295",26.8,48.7,"416",59.3,49.3,21.4
"Torres, Gleyber","650402","2024","542","617","14","126",20.4,10,".255",".375",".330","0.705",".239",".373",".311",".308",70.2,"88.4","15.2",37.6,6.1,34.8,"98.158456209","93.265495891",22.9,45.5,"426",62.7,37.1,26.1
"Turang, Brice","668930","2024","521","578","7","99",17.1,8.1,".259",".359",".321","0.680",".264",".348",".300",".300",66.2,"87.7","6.4",32.1,2.6,31.2,"97.185829223","92.730862165",13.3,47.3,"430",62.6,54,24.7
"Merrill, Jackson","701538","2024","524","559","24","98",17.5,4.7,".288",".500",".320","0.820",".301",".542",".348",".371",72.1,"90.4","14.8",39.4,11.3,44.2,"100.804352884","94.75988014",20.5,56.7,"434",65.4,36.4,25.3
"Naylor, Josh","647304","2024","531","597","29","98",16.4,9.2,".243",".456",".320","0.776",".257",".443",".332",".332",72.9,"89.9","11.4",30.5,8.3,41.3,"100.812384404","94.685097494",22.6,50.9,"436",61.1,46.3,20.9
"Ohtani, Shohei","660271","2024","588","678","48","156",23,11.4,".287",".611",".372","0.983",".307",".643",".408",".431",76.3,"95.5","16.7",37.3,20.6,59.5,"106.469975688","98.603034541",30.1,47.5,"437",61,35.2,26.3
"Tovar, Ezequiel","678662","2024","612","651","25","186",28.6,3.4,".266",".469",".293","0.762",".236",".412",".323",".292",71.4,"89.1","19.3",38.4,9.4,41.1,"99.453044651","94.079926061",33.5,62.3,"438",67.5,34.2,24.4
"Cronenworth, Jake","630105","2024","546","620","16","110",17.7,9,".244",".392",".325","0.717",".265",".434",".316",".340",69.4,"88.9","14",35.2,8,37.3,"99.73046424","94.027195576",17.2,45.3,"440",58.2,43.6,23.4
"Castellanos, Nick","592206","2024","570","621","21","131",21.1,6.3,".244",".412",".303","0.715",".268",".440",".310",".330",71.9,"88.2","15",37.4,7.7,37.4,"99.180003864","93.689770773",30.3,58.4,"441",70.6,39.5,26.1
"Reynolds, Bryan","668804","2024","586","649","22","145",22.3,8,".280",".452",".345","0.797",".275",".473",".345",".352",71.6,"89.9","9.2",37.2,9.5,45.7,"101.050863665","94.897437149",29.4,50.7,"444",63.8,46.6,24.1
"Bohm, Alec","664761","2024","515","565","13","77",13.6,6.7,".287",".456",".340","0.796",".296",".462",".342",".351",72.3,"90.6","10.4",35.1,6.8,46.2,"100.871770407","94.868525588",17.3,49.4,"444",60.6,45.9,25.9
"Burleson, Alec","676475","2024","511","556","21","72",12.9,5.8,".270",".431",".315","0.746",".275",".448",".322",".332",71.2,"89.5","13.9",34.8,7,41.1,"99.347507828","93.966252993",19.5,55.8,"446",63.3,41.7,25.6
"Alvarez, Yordan","670541","2024","534","615","34","91",14.8,10.9,".307",".566",".392","0.958",".307",".607",".400",".414",76.6,"92.8","18.3",34.9,14.1,48.5,"104.054241076","96.60609213",19.9,47.6,"447",58.8,33.6,23.5
"Winn, Masyn","691026","2024","542","590","13","103",17.5,6.6,".271",".408",".319","0.727",".260",".363",".315",".296",70.3,"86.9","13",34,3.1,32.2,"98.011486256","93.00686016",18.9,47,"447",62.5,41.2,27.3
"Verdugo, Alex","657077","2024","538","599","12","91",15.2,8.2,".236",".359",".296","0.655",".255",".384",".287",".308",68.5,"88.7","9.8",32.3,5.7,36,"98.247815841","93.220097743",15.7,44.1,"458",61.4,49.6,23.4
"Volpe, Anthony","683011","2024","601","649","11","147",22.7,5.9,".246",".369",".294","0.663",".241",".339",".289",".279",69.2,"87.7","7.8",34,3.7,35.3,"98.118745244","93.176134365",22.8,48.4,"459",62,51.2,24
"Garcia, Maikel","672580","2024","551","597","7","94",15.7,6.2,".240",".345",".285","0.630",".271",".386",".276",".308",70.7,"90.6","6.7",34.8,3.9,43.6,"100.231698996","94.509265415",15.4,43.4,"466",65.3,49.1,26.8
"Donovan, Brendan","680977","2024","545","605","12","75",12.4,7.1,".270",".402",".336","0.738",".273",".418",".324",".332",69.8,"88.5","13.4",36.3,5.3,36.6,"98.362019064","93.31219258",15.1,43.5,"474",58.3,41.8,27.2
"Altuve, Jose","514888","2024","598","649","19","113",17.4,6.9,".301",".445",".356","0.801",".264",".404",".349",".317",69.4,"86.3","14.4",35.7,6.4,30.9,"97.251257119","92.650357352",22.1,51.9,"485",64.8,42.7,26.4
"Guerrero Jr., Vladimir","665489","2024","572","648","28","90",13.9,10.5,".322",".545",".397","0.942",".323",".575",".398",".409",75.8,"94","6.9",35.3,13.8,55.8,"105.884577438","97.824955776",22.1,48,"485",62.5,48.7,27.2
"Semien, Marcus","543760","2024","604","667","22","100",15,8.8,".235",".392",".306","0.698",".252",".397",".305",".314",68.3,"87.2","17.2",32.9,6.3,33.9,"97.642891713","92.902959382",20.1,50.1,"505",60.5,38.8,22.8
