"last_name, first_name","player_id","year","ab","pa","home_run","strikeout","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","xba","xslg","woba","xwoba","avg_swing_speed","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent","batted_ball","f_strike_percent","groundballs_percent","linedrives_percent"
"Goldschmidt, Paul","502671","2024","561","612","21","162",26.5,7.4,".244",".410",".303","0.713",".256",".459",".309",".332",72.5,"91.6","13.6",33.8,10.5,50.3,"101.854707588","95.716966675",27.8,47.5,"399",63.2,43.4,23.6
"Bellinger, Cody","641355","2024","482","533","18","84",15.8,8.3,".270",".438",".332","0.770",".247",".405",".329",".309",69.1,"87.7","16.9",33.8,6.7,32.6,"97.358066169","92.795878483",22.2,49.6,"402",59,37.6,21.4
"Arcia, Orlando","606115","2024","514","563","16","117",20.8,6.9,".220",".358",".274","0.632",".214",".340",".275",".269",71,"88.4","8.7",31.1,5.4,38,"98.485403881","93.33472414",26.8,48.8,"405",63.4,49.1,21
"Olson, Matt","621566","2024","561","638","26","160",25.1,10,".239",".447",".323","0.770",".249",".455",".331",".341",73.8,"91.4","15.8",36,12.3,46.8,"102.72316802","95.879478784",26.4,50,"406",60.7,36,26.6
"Springer III, George","543807","2024","516","583","19","110",18.9,9.9,".223",".380",".308","0.688",".252",".422",".303",".331",71.9,"87.8","9.3",29.7,9.6,38.2,"100.146794335","94.199710963",25.4,49.1,"408",65.2,49.5,23
"Ozuna, Marcell","542303","2024","564","641","37","158",24.6,10.8,".303",".550",".380","0.930",".290",".589",".396",".407",74,"92.2","14.6",40.2,15.9,53.5,"103.444127255","96.545111299",31.2,46.9,"410",57.3,38.3,26.6
"Alonso, Pete","624413","2024","570","649","33","159",24.5,9.9,".246",".474",".331","0.805",".248",".477",".345",".347",75.2,"89.7","14.5",31.3,13.3,46,"102.70206314","95.616492705",24.1,43,"415",57.6,41.4,21.4
"Paredes, Isaac","670623","2024","512","607","19","99",16.3,12,".238",".400",".349","0.749",".223",".350",".331",".310",68.2,"85","22.6",35.9,4.8,27.5,"96.068269761","92.037088421",17.2,44.7,"418",63,30.9,24.6
"Steer, Spencer","668715","2024","542","621","20","125",20.1,11.1,".232",".419",".327","0.746",".241",".392",".326",".321",71.7,"87.9","17.2",34.4,6.4,39.9,"99.219107081","93.728836067",22.8,44.1,"419",60.2,37.9,23.2
"Freeman, Freddie","518692","2024","510","604","22","98",16.2,12.6,".280",".480",".379","0.859",".281",".483",".367",".373",69.7,"89.5","14.2",42.9,9.5,42.1,"100.513527667","94.615270548",20.3,49.2,"420",60.4,39.3,27.1
"Bleday, JJ","668709","2024","540","607","20","119",19.6,10.5,".246",".452",".328","0.780",".248",".413",".337",".325",71.8,"88.6","18.4",37.9,8.5,36.3,"99.048127048","93.568577238",26.3,45.3,"422",61.8,34.6,26.1
"Kwan, Steven","680757","2024","475","532","13","50",9.4,9.6,".291",".419",".364","0.783",".285",".388",".345",".332",64.5,"86.2","15.1",38.4,2.3,23.4,"94.972909187","91.494929472",8.1,39.3,"427",59,37.2,27.9
"Perez, Salvador","521692","2024","553","614","27","124",20.2,7,".275",".470",".336","0.806",".278",".542",".342",".368",73.2,"91","19.1",40.2,12.9,44.8,"101.890969537","95.359584236",27.8,57.8,"435",66,33.3,24.4
"Soto, Juan","665742","2024","543","671","40","110",16.4,18,".287",".576",".417","0.993",".320",".666",".422",".466",75.5,"94.1","10.5",35.2,20.1,56.7,"105.557636574","97.933218794",21.9,37.2,"437",54,45.1,22.2
"Pasquantino, Vinnie","686469","2024","496","554","19","71",12.8,7.2,".262",".446",".315","0.761",".266",".443",".324",".331",71.7,"91","14.6",31.9,7.1,46.5,"100.997993151","94.970921142",14.5,47.8,"439",59.9,40.3,23.5
"Santander, Anthony","623993","2024","557","621","41","123",19.8,8.4,".239",".510",".309","0.819",".235",".465",".347",".332",73.2,"89.9","23",36.2,12.1,42.6,"100.454206119","94.442886073",19.7,49.9,"439",62,29.6,22.1
"Contreras, William","661388","2024","566","644","22","129",20,11.2,".281",".470",".363","0.833",".274",".491",".359",".364",74.7,"92.8","6.4",29.1,10.2,50,"104.023379227","96.726035477",27,47.5,"440",61.2,53.6,21.4
"Carroll, Corbin","682998","2024","550","635","19","118",18.6,10.2,".233",".425",".321","0.746",".249",".399",".324",".327",73.6,"89.1","11.5",28.1,6.6,39.6,"100.794549954","94.58319828",20.2,41.4,"442",56.5,45,21.7
"Rutschman, Adley","668939","2024","531","596","19","96",16.1,9.4,".252",".397",".322","0.719",".260",".406",".313",".322",69.1,"88.1","18.9",36,6.3,36.2,"98.064321674","93.114542262",17.4,44,"442",58.8,34.8,25.6
"Henderson, Gunnar","683002","2024","590","674","37","148",22,11,".280",".539",".365","0.904",".290",".513",".385",".382",76.3,"92.8","9",34.4,11.7,53.5,"103.953314189","96.798328131",23.9,44.2,"445",55.6,47.4,24.3
"Profar, Jurickson","595777","2024","531","630","23","94",14.9,11.7,".284",".465",".387","0.852",".284",".449",".370",".367",71.8,"91.1","13.1",31.7,7.2,44.7,"100.98904","94.899394027",16.8,45.2,"445",59.6,43.1,24
"Machado, Manny","592518","2024","558","605","27","113",18.7,6.9,".278",".475",".327","0.802",".278",".469",".341",".341",75.2,"92.5","12.4",34.1,10.9,48.8,"103.364531076","96.14941426",23.7,51.4,"449",63.3,43.7,27.2
"Díaz, Yandy","650490","2024","541","594","14","91",15.3,7.7,".283",".418",".340","0.758",".282",".434",".331",".338",73.2,"92.4","4.6",28.9,7.7,49.3,"103.413868142","96.292975588",14.1,44.2,"454",58.8,55.7,21.4
"Diaz, Yainer","673237","2024","548","581","16","99",17,4,".297",".443",".324","0.767",".299",".462",".329",".339",72.6,"90.1","8.7",34.1,7.4,46.8,"101.262066754","94.970291667",22.9,58.3,"457",66.8,51.6,24.9
"Arenado, Nolan","571448","2024","547","600","16","87",14.5,6.8,".265",".391",".317","0.708",".256",".360",".308",".296",70.8,"86.1","16.9",35.5,3.4,30.6,"96.785712446","92.409345858",17.2,46.8,"467",61,39.4,28.1
"Bregman, Alex","608324","2024","547","596","23","82",13.8,7,".256",".441",".314","0.755",".254",".408",".326",".314",71.3,"89","18.4",33.8,6,40.6,"98.887668026","93.605683476",12.9,45,"467",63.4,36.8,23.6
"Giménez, Andrés","665926","2024","553","602","8","93",15.4,4.2,".250",".333",".297","0.630",".262",".358",".278",".297",68.2,"86.2","9.2",33,2.8,28.6,"96.468009654","92.24840423",22.8,56.6,"469",63.6,49.9,24.7
"Peña, Jeremy","665161","2024","571","614","15","103",16.8,3.7,".270",".401",".309","0.710",".272",".412",".308",".317",72.6,"88.3","7.7",30.3,5.7,38.7,"99.209960213","93.675796298",24.9,53.9,"476",67.1,49.2,22.5
"Lindor, Francisco","596019","2024","601","670","31","124",18.5,8.1,".271",".494",".342","0.836",".286",".539",".359",".382",72.5,"90.9","17.3",36.3,13.8,47.3,"101.122397908","95.082754623",23.6,48.8,"480",60,34,26.7
