"last_name, first_name",Handedness (batting),player_id,Year,Ab,Pa,home_run,strikeout,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,xba,Xslg,woba,Xwoba,avg_swing_speed,exit_velocity_avg,laungh_angle_avg,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,swing_percent,batted_ball,f_strike_percent,groundballs_percent,linedrives_percent
"Goldschmidt, Paul",Right,502671,2024,561,612,21,162,26.5,7.4,0.244,0.410,0.303,0.713,0.256,0.459,0.309,0.332,72.5,91.6,13.6,33.8,10.5,50.3,101.854707588,95.716966675,27.8,47.5,399,63.2,43.4,23.6
"Bellinger, Cody",Left,641355,2024,482,533,18,84,15.8,8.3,0.270,0.438,0.332,0.770,0.247,0.405,0.329,0.309,69.1,87.7,16.9,33.8,6.7,32.6,97.358066169,92.795878483,22.2,49.6,402,59,37.6,21.4
"Arcia, Orlando",Right,606115,2024,514,563,16,117,20.8,6.9,0.220,0.358,0.274,0.632,0.214,0.340,0.275,0.269,71,88.4,8.7,31.1,5.4,38,98.485403881,93.33472414,26.8,48.8,405,63.4,49.1,21
"Olson, Matt",Left,621566,2024,561,638,26,160,25.1,10,0.239,0.447,0.323,0.770,0.249,0.455,0.331,0.341,73.8,91.4,15.8,36,12.3,46.8,102.72316802,95.879478784,26.4,50,406,60.7,36,26.6
"Springer III, George",Right,543807,2024,516,583,19,110,18.9,9.9,0.223,0.380,0.308,0.688,0.252,0.422,0.303,0.331,71.9,87.8,9.3,29.7,9.6,38.2,100.146794335,94.199710963,25.4,49.1,408,65.2,49.5,23
"Ozuna, Marcell",Right,542303,2024,564,641,37,158,24.6,10.8,0.303,0.550,0.380,0.930,0.290,0.589,0.396,0.407,74,92.2,14.6,40.2,15.9,53.5,103.444127255,96.545111299,31.2,46.9,410,57.3,38.3,26.6
"Alonso, Pete",Right,624413,2024,570,649,33,159,24.5,9.9,0.246,0.474,0.331,0.805,0.248,0.477,0.345,0.347,75.2,89.7,14.5,31.3,13.3,46,102.70206314,95.616492705,24.1,43,415,57.6,41.4,21.4
"Paredes, Isaac",Right,670623,2024,512,607,19,99,16.3,12,0.238,0.400,0.349,0.749,0.223,0.350,0.331,0.310,68.2,85,22.6,35.9,4.8,27.5,96.068269761,92.037088421,17.2,44.7,418,63,30.9,24.6
"Steer, Spencer",Right,668715,2024,542,621,20,125,20.1,11.1,0.232,0.419,0.327,0.746,0.241,0.392,0.326,0.321,71.7,87.9,17.2,34.4,6.4,39.9,99.219107081,93.728836067,22.8,44.1,419,60.2,37.9,23.2
"Freeman, Freddie",Left,518692,2024,510,604,22,98,16.2,12.6,0.280,0.480,0.379,0.859,0.281,0.483,0.367,0.373,69.7,89.5,14.2,42.9,9.5,42.1,100.513527667,94.615270548,20.3,49.2,420,60.4,39.3,27.1
"Bleday, JJ",Left,668709,2024,540,607,20,119,19.6,10.5,0.246,0.452,0.328,0.780,0.248,0.413,0.337,0.325,71.8,88.6,18.4,37.9,8.5,36.3,99.048127048,93.568577238,26.3,45.3,422,61.8,34.6,26.1
"Kwan, Steven",Left,680757,2024,475,532,13,50,9.4,9.6,0.291,0.419,0.364,0.783,0.285,0.388,0.345,0.332,64.5,86.2,15.1,38.4,2.3,23.4,94.972909187,91.494929472,8.1,39.3,427,59,37.2,27.9
"Perez, Salvador",Right,521692,2024,553,614,27,124,20.2,7,0.275,0.470,0.336,0.806,0.278,0.542,0.342,0.368,73.2,91,19.1,40.2,12.9,44.8,101.890969537,95.359584236,27.8,57.8,435,66,33.3,24.4
