"last_name, first_name",Handedness (batting),player_id,Year,Ab,Pa,home_run,strikeout,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,xba,Xslg,woba,Xwoba,avg_swing_speed,exit_velocity_avg,laungh_angle_avg,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,swing_percent,batted_ball,f_strike_percent,groundballs_percent,linedrives_percent
"Vaughn, Andrew",Right,683734,2024,529,576,18,124,21.5,6.4,0.248,0.408,0.300,0.708,0.252,0.467,0.307,0.331,70.8,90.4,16.8,36.1,10,43.4,100.96245561,94.722823927,22,48.9,410,64.2,37.1,23.2
"Adames, Willy",Right,642715,2024,574,647,32,165,25.5,10.7,0.249,0.469,0.329,0.798,0.248,0.479,0.343,0.345,73.7,88.4,20.5,38.1,12.4,40,99.67976801,94.029975801,29.6,49.2,412,59.8,31.1,22.1
"Bell, Josh",Switch,605137,2024,531,595,18,118,19.8,8.6,0.249,0.401,0.320,0.721,0.243,0.405,0.315,0.314,70.4,89,10.7,31.5,7.5,40.1,100.034737729,94.156086295,26.8,48.7,416,59.3,49.3,21.4
"Torres, Gleyber",Right,650402,2024,542,617,14,126,20.4,10,0.255,0.375,0.330,0.705,0.239,0.373,0.311,0.308,70.2,88.4,15.2,37.6,6.1,34.8,98.158456209,93.265495891,22.9,45.5,426,62.7,37.1,26.1
"Turang, Brice",Left,668930,2024,521,578,7,99,17.1,8.1,0.259,0.359,0.321,0.680,0.264,0.348,0.300,0.300,66.2,87.7,6.4,32.1,2.6,31.2,97.185829223,92.730862165,13.3,47.3,430,62.6,54,24.7
"Merrill, Jackson",Left,701538,2024,524,559,24,98,17.5,4.7,0.288,0.500,0.320,0.820,0.301,0.542,0.348,0.371,72.1,90.4,14.8,39.4,11.3,44.2,100.804352884,94.75988014,20.5,56.7,434,65.4,36.4,25.3
"Naylor, Josh",Left,647304,2024,531,597,29,98,16.4,9.2,0.243,0.456,0.320,0.776,0.257,0.443,0.332,0.332,72.9,89.9,11.4,30.5,8.3,41.3,100.812384404,94.685097494,22.6,50.9,436,61.1,46.3,20.9
"Ohtani, Shohei",Left,660271,2024,588,678,48,156,23,11.4,0.287,0.611,0.372,0.983,0.307,0.643,0.408,0.431,76.3,95.5,16.7,37.3,20.6,59.5,106.469975688,98.603034541,30.1,47.5,437,61,35.2,26.3
"Tovar, Ezequiel",Right,678662,2024,612,651,25,186,28.6,3.4,0.266,0.469,0.293,0.762,0.236,0.412,0.323,0.292,71.4,89.1,19.3,38.4,9.4,41.1,99.453044651,94.079926061,33.5,62.3,438,67.5,34.2,24.4
"Cronenworth, Jake",Left,630105,2024,546,620,16,110,17.7,9,0.244,0.392,0.325,0.717,0.265,0.434,0.316,0.340,69.4,88.9,14,35.2,8,37.3,99.73046424,94.027195576,17.2,45.3,440,58.2,43.6,23.4
"Castellanos, Nick",Right,592206,2024,570,621,21,131,21.1,6.3,0.244,0.412,0.303,0.715,0.268,0.440,0.310,0.330,71.9,88.2,15,37.4,7.7,37.4,99.180003864,93.689770773,30.3,58.4,441,70.6,39.5,26.1
"Reynolds, Bryan",Switch,668804,2024,586,649,22,145,22.3,8,0.280,0.452,0.345,0.797,0.275,0.473,0.345,0.352,71.6,89.9,9.2,37.2,9.5,45.7,101.050863665,94.897437149,29.4,50.7,444,63.8,46.6,24.1
"Bohm, Alec",Right,664761,2024,515,565,13,77,13.6,6.7,0.287,0.456,0.340,0.796,0.296,0.462,0.342,0.351,72.3,90.6,10.4,35.1,6.8,46.2,100.871770407,94.868525588,17.3,49.4,444,60.6,45.9,25.9
"Burleson, Alec",Left,676475,2024,511,556,21,72,12.9,5.8,0.270,0.431,0.315,0.746,0.275,0.448,0.322,0.332,71.2,89.5,13.9,34.8,7,41.1,99.347507828,93.966252993,19.5,55.8,446,63.3,41.7,25.6
"Alvarez, Yordan",Left,670541,2024,534,615,34,91,14.8,10.9,0.307,0.566,0.392,0.958,0.307,0.607,0.400,0.414,76.6,92.8,18.3,34.9,14.1,48.5,104.054241076,96.60609213,19.9,47.6,447,58.8,33.6,23.5
"Winn, Masyn",Right,691026,2024,542,590,13,103,17.5,6.6,0.271,0.408,0.319,0.727,0.260,0.363,0.315,0.296,70.3,86.9,13,34,3.1,32.2,98.011486256,93.00686016,18.9,47,447,62.5,41.2,27.3
"Verdugo, Alex",Left,657077,2024,538,599,12,91,15.2,8.2,0.236,0.359,0.296,0.655,0.255,0.384,0.287,0.308,68.5,88.7,9.8,32.3,5.7,36,98.247815841,93.220097743,15.7,44.1,458,61.4,49.6,23.4
"Volpe, Anthony",Right,683011,2024,601,649,11,147,22.7,5.9,0.246,0.369,0.294,0.663,0.241,0.339,0.289,0.279,69.2,87.7,7.8,34,3.7,35.3,98.118745244,93.176134365,22.8,48.4,459,62,51.2,24
"Garcia, Maikel",Right,672580,2024,551,597,7,94,15.7,6.2,0.240,0.345,0.285,0.630,0.271,0.386,0.276,0.308,70.7,90.6,6.7,34.8,3.9,43.6,100.231698996,94.509265415,15.4,43.4,466,65.3,49.1,26.8
"Donovan, Brendan",Left,680977,2024,545,605,12,75,12.4,7.1,0.270,0.402,0.336,0.738,0.273,0.418,0.324,0.332,69.8,88.5,13.4,36.3,5.3,36.6,98.362019064,93.31219258,15.1,43.5,474,58.3,41.8,27.2
"Altuve, Jose",Right,514888,2024,598,649,19,113,17.4,6.9,0.301,0.445,0.356,0.801,0.264,0.404,0.349,0.317,69.4,86.3,14.4,35.7,6.4,30.9,97.251257119,92.650357352,22.1,51.9,485,64.8,42.7,26.4
"Guerrero Jr., Vladimir",Right,665489,2024,572,648,28,90,13.9,10.5,0.322,0.545,0.397,0.942,0.323,0.575,0.398,0.409,75.8,94,6.9,35.3,13.8,55.8,105.884577438,97.824955776,22.1,48,485,62.5,48.7,27.2
"Semien, Marcus",Right,543760,2024,604,667,22,100,15,8.8,0.235,0.392,0.306,0.698,0.252,0.397,0.305,0.314,68.3,87.2,17.2,32.9,6.3,33.9,97.642891713,92.902959382,20.1,50.1,505,60.5,38.8,22.8
